Country,Gold,Silver,Bronze,Total
Norway,18,12,11,41
United States,12,12,9,33
Italy,10,6,14,30
Germany,8,10,8,26
Austria,8,7,6,21
France,7,6,8,21
Netherlands,6,5,4,15
Switzerland,5,6,6,17
Sweden,4,6,3,13
Canada,4,5,6,15
Japan,3,4,5,12
South Korea,3,3,2,8
China,2,4,3,9
Czech Republic,2,2,3,7
Finland,2,1,4,7
Slovenia,2,1,2,5
Great Britain,1,2,2,5
Latvia,1,1,1,3
Poland,1,1,1,3
Brazil,1,0,0,1
Georgia,0,1,0,1
Estonia,0,0,1,1
Ukraine,0,0,1,1
Australia,0,0,1,1
Spain,0,0,1,1
Kazakhstan,0,0,1,1
Romania,0,0,1,1
Bulgaria,0,0,1,1
Slovakia,0,0,0,0
Belgium,0,0,0,0
Andorra,0,0,0,0
Argentina,0,0,0,0
Armenia,0,0,0,0
Azerbaijan,0,0,0,0
Bosnia and Herzegovina,0,0,0,0
Chile,0,0,0,0
Chinese Taipei,0,0,0,0
Colombia,0,0,0,0
Croatia,0,0,0,0
Cyprus,0,0,0,0
Denmark,0,0,0,0
Ecuador,0,0,0,0
Greece,0,0,0,0
Guatemala,0,0,0,0
Hong Kong,0,0,0,0
Hungary,0,0,0,0
Iceland,0,0,0,0
India,0,0,0,0
Iran,0,0,0,0
Ireland,0,0,0,0
Israel,0,0,0,0
Jamaica,0,0,0,0
Kenya,0,0,0,0
Kosovo,0,0,0,0
Kyrgyzstan,0,0,0,0
Lebanon,0,0,0,0
Liechtenstein,0,0,0,0
Lithuania,0,0,0,0
Luxembourg,0,0,0,0
Madagascar,0,0,0,0
Malaysia,0,0,0,0
Mexico,0,0,0,0
Moldova,0,0,0,0
Monaco,0,0,0,0
Mongolia,0,0,0,0
Montenegro,0,0,0,0
Morocco,0,0,0,0
New Zealand,0,0,0,0
Nigeria,0,0,0,0
North Macedonia,0,0,0,0
Pakistan,0,0,0,0
Peru,0,0,0,0
Philippines,0,0,0,0
Portugal,0,0,0,0
San Marino,0,0,0,0
Serbia,0,0,0,0
Singapore,0,0,0,0
Thailand,0,0,0,0
Tonga,0,0,0,0
Turkey,0,0,0,0
United Arab Emirates,0,0,0,0
Uzbekistan,0,0,0,0
Venezuela,0,0,0,0
Vietnam,0,0,0,0
Albania,0,0,0,0
Bolivia,0,0,0,0
Benin,0,0,0,0
Guinea-Bissau,0,0,0,0
Haiti,0,0,0,0
Ghana,0,0,0,0
